Alloy System,Composition,AM_beg,AM_end,Critical Cooling Rate,Element A,Element B,Xtal A,Xtal B,rA,rB,Amorphous Range,Glassy Alloys,Max deltaq / PP,deltaH,r_bar,size_diff,size_ratio,size_range,DeltaH,cohesiveE_A,cohesiveE_B,H_norm,CrystalMismatch0,CrystalMismatch1,LiquidusT,MeltingT_A,MeltingT_B,Tmean
AlNi,0.01,0.21465,0.33849,13.536177283990304,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,140.85,0.010596245336598718,1.119047619047619,15.0,-0.4356,3.39,4.44,2.9649,0.0099,13.5644,925.95,933.15,1728.15,941.1
AlNi,0.02,0.21465,0.33849,13.090365602252097,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,140.70000000000002,0.014925373134328361,1.119047619047619,15.0,-0.8623999999999999,3.39,4.44,2.5486,0.0196,13.1376,920.93,933.15,1728.15,949.05
AlNi,0.03,0.21465,0.33849,12.662564954785378,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,140.55,0.018205679945818547,1.119047619047619,15.0,-1.2803999999999998,3.39,4.44,2.1411000000000002,0.029099999999999997,12.7196,916.86,933.15,1728.15,957.0
AlNi,0.04,0.21465,0.33849,12.252775341590148,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,140.39999999999998,0.020935809767377606,1.119047619047619,15.0,-1.6896,3.39,4.44,1.7424,0.0384,12.3104,949.89,933.15,1728.15,964.9499999999999
AlNi,0.05,0.21465,0.33849,11.860996762666408,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,140.25,0.02330962001893408,1.119047619047619,15.0,-2.09,3.39,4.44,1.3525,0.0475,11.91,960.0,933.15,1728.15,972.9
AlNi,0.06,0.21465,0.33849,11.487229218014148,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,140.1,0.025426856717425953,1.119047619047619,15.0,-2.4815999999999994,3.39,4.44,0.9714000000000005,0.05639999999999999,11.5184,977.57,933.15,1728.15,980.8499999999999
AlNi,0.07,0.21465,0.33849,11.131472707633383,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.95,0.027346947100049434,1.119047619047619,15.0,-2.8644,3.39,4.44,0.5991,0.0651,11.1356,993.77,933.15,1728.15,988.8
AlNi,0.08,0.21465,0.33849,10.793727231524102,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.8,0.029108712373928206,1.119047619047619,15.0,-3.2384,3.39,4.44,0.23560000000000025,0.0736,10.7616,1048.53,933.15,1728.15,996.75
AlNi,0.09,0.21465,0.33849,10.473992789686312,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.65,0.030739179422672798,1.119047619047619,15.0,-3.6036,3.39,4.44,-0.11909999999999998,0.0819,10.3964,1023.63,933.15,1728.15,1004.7
AlNi,0.1,0.21465,0.33849,10.17226938212001,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.5,0.03225806451612904,1.119047619047619,15.0,-3.9600000000000004,3.39,4.44,-0.4650000000000003,0.09000000000000001,10.04,1080.13,933.15,1728.15,1012.6500000000001
AlNi,0.11,0.21465,0.33849,9.888557008825194,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.35,0.03368027523608616,1.119047619047619,15.0,-4.3076,3.39,4.44,-0.8020999999999998,0.0979,9.6924,1051.3,933.15,1728.15,1020.6
AlNi,0.12,0.21465,0.33849,9.622855669801865,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.2,0.0350174069165343,1.119047619047619,15.0,-4.6464,3.39,4.44,-1.1303999999999998,0.1056,9.3536,1104.07,933.15,1728.15,1028.55
AlNi,0.13,0.21465,0.33849,9.375165365050025,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,139.05,0.036278687639266956,1.119047619047619,15.0,-4.976400000000001,3.39,4.44,-1.4499000000000009,0.1131,9.023599999999998,1077.13,933.15,1728.15,1036.5
AlNi,0.14,0.21465,0.33849,9.145486094569673,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.9,0.037471601669324985,1.119047619047619,15.0,-5.2976,3.39,4.44,-1.7606000000000002,0.12040000000000001,8.7024,1089.3,933.15,1728.15,1044.45
AlNi,0.15,0.21465,0.33849,8.933817858360811,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.75,0.03860231582996135,1.119047619047619,15.0,-5.609999999999999,3.39,4.44,-2.0624999999999996,0.1275,8.39,1100.87,933.15,1728.15,1052.4
AlNi,0.16,0.21465,0.33849,8.740160656423434,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.6,0.039675980042907705,1.119047619047619,15.0,-5.9136,3.39,4.44,-2.3556,0.1344,8.086400000000001,1111.79,933.15,1728.15,1060.35
AlNi,0.17,0.21465,0.33849,8.564514488757547,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.45,0.04069694468254158,1.119047619047619,15.0,-6.2084,3.39,4.44,-2.6399,0.1411,7.7916,1121.9499999999998,933.15,1728.15,1068.3
AlNi,0.18,0.21465,0.33849,8.406879355363147,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.3,0.04166892128481245,1.119047619047619,15.0,-6.494400000000001,3.39,4.44,-2.9154000000000004,0.1476,7.505599999999999,1208.44,933.15,1728.15,1076.25
AlNi,0.19,0.21465,0.33849,8.267255256240235,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.15,0.0425951036828079,1.119047619047619,15.0,-6.7716,3.39,4.44,-3.1821,0.1539,7.2284,1181.26,933.15,1728.15,1084.2
AlNi,0.2,0.21465,0.33849,8.14564219138881,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,138.0,0.04347826086956528,1.119047619047619,15.0,-7.040000000000001,3.39,4.44,-3.4400000000000004,0.16000000000000003,6.959999999999999,1262.07,933.15,1728.15,1092.15
AlNi,0.21,0.21465,0.33849,8.042040160808874,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,137.85,0.04432080925879506,1.119047619047619,15.0,-7.299600000000001,3.39,4.44,-3.6891000000000007,0.1659,6.700399999999999,1284.09,933.15,1728.15,1100.1
AlNi,0.22,0.21465,0.33849,7.956449164500425,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,137.7,0.045124869667119746,1.119047619047619,15.0,-7.5504,3.39,4.44,-3.9293999999999993,0.1716,6.4496,1307.08,933.15,1728.15,1108.05
AlNi,0.23,0.21465,0.33849,7.888869202463464,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,137.55,0.04589231278626128,1.119047619047619,15.0,-7.792400000000001,3.39,4.44,-4.160900000000001,0.1771,6.207599999999999,1316.46,933.15,1728.15,1116.0
AlNi,0.24,0.21465,0.33849,7.839300274697991,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,137.4,0.0466247958603988,1.119047619047619,15.0,-8.025599999999999,3.39,4.44,-4.383599999999999,0.1824,5.974400000000001,1351.13,933.15,1728.15,1123.95
AlNi,0.25,0.21465,0.33849,7.807742381204007,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,137.25,0.04732379255652671,1.119047619047619,15.0,-8.25,3.39,4.44,-4.5975,0.1875,5.75,1383.4,933.15,1728.15,1131.9
AlNi,0.26,0.21465,0.33849,7.794195521981511,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,137.1,0.04799061750429171,1.119047619047619,15.0,-8.4656,3.39,4.44,-4.8026,0.19240000000000002,5.5344,1420.35,933.15,1728.15,1139.85
AlNi,0.27,0.21465,0.33849,7.7986596970305015,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.95,0.048626446616479954,1.119047619047619,15.0,-8.6724,3.39,4.44,-4.9989,0.1971,5.3276,1462.11,933.15,1728.15,1147.8
AlNi,0.28,0.21465,0.33849,7.820173386393554,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.8,0.04923233403649923,1.119047619047619,15.0,-8.8704,3.39,4.44,-5.1864,0.2016,5.1296,1503.17,933.15,1728.15,1155.75
AlNi,0.29,0.21465,0.33849,7.846880314834338,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.65,0.0498092263646034,1.119047619047619,15.0,-9.0596,3.39,4.44,-5.3651,0.20589999999999997,4.9404,1543.2800000000002,933.15,1728.15,1163.6999999999998
AlNi,0.3,0.21465,0.33849,7.875252707972255,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.5,0.050357974669844416,1.119047619047619,15.0,-9.239999999999998,3.39,4.44,-5.534999999999998,0.21,4.760000000000002,1558.92,933.15,1728.15,1171.65
AlNi,0.31,0.21465,0.33849,7.905290565807304,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.35,0.05087934468579619,1.119047619047619,15.0,-9.4116,3.39,4.44,-5.6961,0.21389999999999998,4.5884,1601.06,933.15,1728.15,1179.6
AlNi,0.32,0.21465,0.33849,7.936993888339486,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.2,0.05137402550524492,1.119047619047619,15.0,-9.574399999999999,3.39,4.44,-5.848399999999999,0.2176,4.425600000000001,1655.58,933.15,1728.15,1187.55
AlNi,0.33,0.21465,0.33849,7.9703626755688,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,136.04999999999998,0.051842637025396925,1.119047619047619,15.0,-9.7284,3.39,4.44,-5.991900000000001,0.2211,4.271599999999999,1666.17,933.15,1728.15,1195.5
AlNi,0.34,0.21465,0.33849,8.005396927495246,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.89999999999998,0.052285736345814626,1.119047619047619,15.0,-9.8736,3.39,4.44,-6.1266,0.2244,4.1264,1721.62,933.15,1728.15,1203.4499999999998
AlNi,0.35000000000000003,0.21465,0.33849,8.042096644118823,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.75,0.052703823282704204,1.119047619047619,15.0,-10.01,3.39,4.44,-6.2524999999999995,0.22749999999999998,3.99,1724.59,933.15,1728.15,1211.4
AlNi,0.36,0.21465,0.33849,8.080461825439535,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.6,0.053097345132743334,1.119047619047619,15.0,-10.1376,3.39,4.44,-6.369600000000001,0.2304,3.862399999999999,1749.48,933.15,1728.15,1219.35
AlNi,0.37,0.21465,0.33849,8.120492471457379,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.45,0.05346670079545206,1.119047619047619,15.0,-10.256400000000001,3.39,4.44,-6.477900000000001,0.2331,3.743599999999999,1804.95,933.15,1728.15,1227.3000000000002
AlNi,0.38,0.21465,0.33849,8.162188582172353,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.3,0.05381224434373213,1.119047619047619,15.0,-10.366399999999999,3.39,4.44,-6.577399999999999,0.2356,3.6336000000000013,1828.41,933.15,1728.15,1235.25
AlNi,0.39,0.21465,0.33849,8.205550157584462,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.15,0.054134288116569174,1.119047619047619,15.0,-10.4676,3.39,4.44,-6.668099999999999,0.2379,3.532400000000001,1810.77,933.15,1728.15,1243.2
AlNi,0.4,0.21465,0.33849,8.2505771976937,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,135.0,0.054433105395181765,1.119047619047619,15.0,-10.56,3.39,4.44,-6.75,0.24,3.4399999999999995,1828.01,933.15,1728.15,1251.15
AlNi,0.41000000000000003,0.21465,0.33849,8.29726970250007,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,134.85,0.05470893271349477,1.119047619047619,15.0,-10.643600000000001,3.39,4.44,-6.823100000000001,0.2419,3.356399999999999,1842.37,933.15,1728.15,1259.1
AlNi,0.42,0.21465,0.33849,8.345627672003577,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,134.70000000000002,0.054961971845225194,1.119047619047619,15.0,-10.7184,3.39,4.44,-6.8874,0.2436,3.281599999999999,1901.16,933.15,1728.15,1267.0500000000002
AlNi,0.43,0.21465,0.33849,8.395651106204213,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,134.55,0.055192391502727096,1.119047619047619,15.0,-10.7844,3.39,4.44,-6.942899999999999,0.2451,3.2156000000000002,1914.24,933.15,1728.15,1275.0
AlNi,0.44,0.21465,0.33849,8.447340005101982,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,134.4,0.05540032877674487,1.119047619047619,15.0,-10.841600000000001,3.39,4.44,-6.989600000000001,0.24640000000000004,3.1583999999999985,1925.35,933.15,1728.15,1282.9500000000003
AlNi,0.45,0.21465,0.33849,8.50069436869688,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,134.25,0.055585890341151946,1.119047619047619,15.0,-10.89,3.39,4.44,-7.0275,0.24750000000000003,3.1099999999999994,1934.53,933.15,1728.15,1290.9
AlNi,0.46,0.21465,0.33849,8.555714196988914,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,134.1,0.0557491534424032,1.119047619047619,15.0,-10.929600000000002,3.39,4.44,-7.056600000000002,0.24840000000000004,3.0703999999999976,1941.82,933.15,1728.15,1298.8500000000001
AlNi,0.47000000000000003,0.21465,0.33849,8.61239948997808,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.95000000000002,0.055890166689665344,1.119047619047619,15.0,-10.9604,3.39,4.44,-7.076899999999999,0.24910000000000002,3.0396,1902.7,933.15,1728.15,1306.8000000000002
AlNi,0.48,0.21465,0.33849,8.670750247664374,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.8,0.05600895065828159,1.119047619047619,15.0,-10.982399999999998,3.39,4.44,-7.088399999999998,0.2496,3.0176000000000016,1903.66,933.15,1728.15,1314.75
AlNi,0.49,0.21465,0.33849,8.730766470047804,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.65,0.05610549831627376,1.119047619047619,15.0,-10.9956,3.39,4.44,-7.091099999999999,0.2499,3.0044000000000004,1907.49,933.15,1728.15,1322.7
AlNi,0.5,0.21465,0.33849,8.792448157128366,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.5,0.05617977528089885,1.119047619047619,15.0,-11.0,3.39,4.44,-7.085,0.25,3.0,1909.4,933.15,1728.15,1330.65
AlNi,0.51,0.21465,0.33849,8.855795308906059,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.35000000000002,0.056231719909786204,1.119047619047619,15.0,-10.9956,3.39,4.44,-7.070099999999999,0.2499,3.0044000000000004,1951.2,933.15,1728.15,1338.6000000000001
AlNi,0.52,0.21465,0.33849,8.920807925380885,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.2,0.05626124322881438,1.119047619047619,15.0,-10.9824,3.39,4.44,-7.0464,0.2496,3.0176,1904.61,933.15,1728.15,1346.55
AlNi,0.53,0.21465,0.33849,8.987486006552842,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,133.05,0.05626822869658522,1.119047619047619,15.0,-10.9604,3.39,4.44,-7.0139,0.2491,3.0396,1943.02,933.15,1728.15,1354.5
AlNi,0.54,0.21465,0.33849,9.055829552421933,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,132.9,0.05625253180305693,1.119047619047619,15.0,-10.9296,3.39,4.44,-6.972600000000001,0.2484,3.0703999999999994,1896.95,933.15,1728.15,1362.45
AlNi,0.55,0.21465,0.33849,9.125838562988156,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,132.75,0.056213979497549124,1.119047619047619,15.0,-10.89,3.39,4.44,-6.9225,0.2475,3.1099999999999994,1890.25,933.15,1728.15,1370.4
AlNi,0.56,0.21465,0.33849,9.197513038251511,Al,Ni,BCC,FCC,141.0,126.0,12.384,8,0.111325547,-22.0,132.6,0.05615236943887262,1.119047619047619,15.0,-10.8416,3.39,4.44,-6.863599999999999,0.24639999999999998,3.1584000000000003,1882.59,933.15,1728.15,1378.3500000000001
